id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
404	0	0	0	0	NOV
405	0	0	0	0	NOV
406	0	0	0	0	NOV
407	0	0	0	0	NOV
408	0	0	0	0	NOV
409	0	0	0	0	NOV
410	0	0	0	0	NOV
411	0	0	0	0	NOV
412	0	0	0	0	NOV
413	0	0	0	0	NOV
414	0	0	0	0	NOV
415	0	0	0	0	NOV
416	0	0	0	0	NOV
417	0	0	0	0	NOV
418	0	0	0	0	NOV
419	0	0	0	0	NOV
420	0	0	0	0	NOV
421	0	0	0	0	NOV
422	0	0	0	0	NOV
423	0	0	0	0	NOV
424	0	0	0	0	NOV
425	0	0	0	0	NOV
426	0	0	0	0	NOV
427	0	0	0	0	NOV
428	0	0	0	0	NOV
429	0	0	0	0	NOV
430	0	0	0	0	NOV
431	0	0	0	0	NOV
432	0	0	0	0	NOV
433	0	0	0	0	NOV
434	0	0	0	0	NOV
435	0	0	0	0	NOV
436	0	0	0	0	NOV
437	0	0	0	0	NOV
438	0	0	0	0	NOV
439	0	0	0	0	NOV
440	0	0	0	0	NOV
441	0	0	0	0	NOV
442	0	0	0	0	NOV
443	0	0	0	0	NOV
444	0	0	0	0	NOV
445	0	0	0	0	NOV
446	0	0	0	0	NOV
447	0	0	0	0	NOV
448	0	0	0	0	NOV
449	0	0	0	0	NOV
450	0	0	0	0	NOV
451	0	0	0	0	NOV
452	0	519	0	519	NOC	skipped 0 overlaps; used 47 overlaps
453	0	0	0	0	NOV
454	0	0	0	0	NOV
455	0	0	0	0	NOV
456	0	0	0	0	NOV
457	0	502	0	502	NOC	skipped 0 overlaps; used 47 overlaps
458	0	0	0	0	NOV
459	0	0	0	0	NOV
460	0	531	0	531	NOC	skipped 0 overlaps; used 47 overlaps
461	0	0	0	0	NOV
462	0	0	0	0	NOV
463	0	0	0	0	NOV
464	0	0	0	0	NOV
465	0	0	0	0	NOV
466	0	0	0	0	NOV
467	0	0	0	0	NOV
468	0	0	0	0	NOV
469	0	0	0	0	NOV
470	0	0	0	0	NOV
471	0	0	0	0	NOV
472	0	0	0	0	NOV
473	0	0	0	0	NOV
474	0	0	0	0	NOV
475	0	0	0	0	NOV
476	0	0	0	0	NOV
477	0	0	0	0	NOV
478	0	0	0	0	NOV
479	0	0	0	0	NOV
480	0	517	0	517	NOC	skipped 0 overlaps; used 47 overlaps
481	0	0	0	0	NOV
482	0	0	0	0	NOV
483	0	0	0	0	NOV
484	0	0	0	0	NOV
